	11A	11B	12A	12B	14A	14B	15A	15B	17A	17B	18A	18B	20A	20B	21A	21B	23A	23B	24A	24B	2A	2B	3A	3B	5A	5B	6A	6B	8A	8B	9A	9B
11A	0.0	0.3070998459599496	0.3517247817765953	0.32717173131680904	0.4576389861363955	0.6255426410866826	0.3860337020958783	0.6035102459972926	0.40185781636558837	0.5756430005134668	0.47252952434299583	0.45689212528590767	0.4492368015684078	0.479251271997386	0.5295710217990011	0.6522429164916211	0.350837884516641	0.36502824067590905	0.40769266676002425	0.5775568314428418	0.5721420902768053	0.49544881669234003	0.4495168743873407	0.36717546562106146	0.4716426270830416	0.6390328151986183	0.3899547215609392	0.6003360873827195	0.5614059655510433	0.42776455211688375	0.4144144144144144	0.3644214162348877
11B	0.3070998459599496	0.0	0.4344396209681184	0.3697427997946133	0.41203379545348456	0.5270970452317603	0.3517714605797507	0.5557111515660739	0.4053120477990944	0.5553377211408299	0.4462493581664566	0.44526910330019137	0.4185688278952528	0.502730709984596	0.4908276151799468	0.6556504691219717	0.3160621761658031	0.3863604537179667	0.3851934836390795	0.5760164309387107	0.5511366288568361	0.4915277972272791	0.4415814778509079	0.34915744760304346	0.509919245670541	0.587639452924427	0.37160995192083274	0.6358586565840452	0.5813844933015917	0.42155627129720397	0.4060589086495822	0.33935489894039117
12A	0.3517247817765953	0.4344396209681184	0.0	0.289315221957709	0.45488493675022174	0.7109181720580684	0.4144610932175699	0.6212015123932222	0.3703029454324791	0.517107781356486	0.5263968631844279	0.3976100452784391	0.44363534518974934	0.4458759277412127	0.5127666526630257	0.5417541894225832	0.4183821126826308	0.31218783550389767	0.4295850254399477	0.4740699248471269	0.58409186388461	0.5142603743640013	0.43719367035429213	0.3858936656864118	0.3955094991364421	0.6935536572842272	0.3876207814031648	0.5680343555991224	0.5222424497035896	0.40195117397189933	0.44578257013490175	0.3812257853708631
12B	0.32717173131680904	0.3697427997946133	0.289315221957709	0.0	0.45003034122205104	0.6239555617793959	0.40344489567287495	0.5837651122625216	0.37525089856696076	0.5112262521588946	0.4959156047238949	0.43541987583438363	0.42683097605377396	0.4415347990477524	0.4911076879988797	0.562712972039397	0.3584932082341409	0.36180740325818045	0.41679503337534424	0.4648275218223405	0.5350791205713485	0.455865191616487	0.4282313401484386	0.316342248984736	0.4569388040890632	0.6229753069131307	0.3579797413994305	0.546328712131821	0.4788778415721421	0.3776315175278906	0.3963497175932409	0.35023106007561966
14A	0.4576389861363955	0.41203379545348456	0.45488493675022174	0.45003034122205104	0.0	0.5505764832189702	0.36260094291182376	0.48443261914764507	0.39611632357746346	0.4650142370349624	0.4221164169350698	0.4079727395789572	0.37268356439340894	0.4367735611258927	0.5480091490454184	0.5961349950987257	0.4166083181627223	0.47383653083134947	0.42650422443168556	0.526303505578117	0.5041310740792606	0.4903608271483919	0.4669280679643374	0.48541287401391026	0.48097838771413903	0.5920272604210428	0.4289315221957709	0.6001026933669421	0.5143537319703123	0.4237501750455118	0.42262988376978017	0.44905008635578586
14B	0.6255426410866826	0.5270970452317603	0.7109181720580684	0.6239555617793959	0.5505764832189702	0.0	0.5699948653316529	0.5092190636232087	0.6257760351024599	0.6612052466974747	0.6096251692106615	0.6247957802361948	0.6057975073519115	0.6126126126126126	0.6375390934976427	0.7652522989310554	0.6351117957335574	0.6853381879288615	0.6229286281099753	0.7066704009709192	0.6367455538439994	0.6148065163609205	0.6286701208981001	0.6501890491527798	0.7472342809130373	0.6247491014330393	0.5753629276945339	0.7138589366568641	0.6540167110115297	0.6071045138402651	0.649442188302292	0.6711478317695935
15A	0.3860337020958783	0.3517714605797507	0.4144610932175699	0.40344489567287495	0.36260094291182376	0.5699948653316529	0.0	0.5402137889184522	0.32091677169397376	0.48223871539933716	0.459412780656304	0.35737291695840917	0.3324464360733791	0.36983615740092424	0.43593334266909395	0.5665406338981469	0.35284507305232693	0.32679830089156514	0.2932829202259254	0.4654810250665173	0.518834897073239	0.40274471362554265	0.3427624515707417	0.37123652149558883	0.4383139616300238	0.6228819493068197	0.29230266535966015	0.5848854035382532	0.5125799374504038	0.30873360407039163	0.42309667180133503	0.35821313541520794
15B	0.6035102459972926	0.5557111515660739	0.6212015123932222	0.5837651122625216	0.48443261914764507	0.5092190636232087	0.5402137889184522	0.0	0.560238995472156	0.6416468281753256	0.5790505531438174	0.5808243476637259	0.5723288054894272	0.5777902254586192	0.6957008822293796	0.7588106240955982	0.6081314475096858	0.6384726695607524	0.58409186388461	0.6305372730243196	0.5772767586239089	0.5790505531438174	0.6637725808710264	0.5863324464360734	0.6806236288101573	0.6663865938477338	0.5809643840731924	0.6361854082061336	0.5949680250198385	0.573169023946226	0.5846053307193203	0.5959016010829482
17A	0.40185781636558837	0.4053120477990944	0.3703029454324791	0.37525089856696076	0.39611632357746346	0.6257760351024599	0.32091677169397376	0.560238995472156	0.0	0.42510386033702097	0.4223964897540027	0.3341735517901321	0.3533118610838818	0.41651496055641135	0.444942351678103	0.5242963170424311	0.3877608178126313	0.3708164122671895	0.35858656584045184	0.446669467394856	0.5595388134248238	0.4962423563459833	0.3956962143490641	0.43826728282686833	0.4221164169350698	0.6137329038883443	0.3486439807683331	0.578723801521729	0.5024973159688185	0.36936936936936937	0.470335620594688	0.4523176025766699
17B	0.5756430005134668	0.5553377211408299	0.517107781356486	0.5112262521588946	0.4650142370349624	0.6612052466974747	0.48223871539933716	0.6416468281753256	0.42510386033702097	0.0	0.4525043177892919	0.4301451710778136	0.5001166970078887	0.5232227045698549	0.4771507258553891	0.5072118750875227	0.5730289875367596	0.5156607384586659	0.5120664706156934	0.5453484572655557	0.584185221490921	0.5948746674135276	0.5037576436540168	0.6099052420295944	0.49423516781029736	0.6353918685524903	0.4959156047238949	0.6437473743173225	0.5827381785931008	0.48597301965177614	0.553330532605144	0.6166269896839845
18A	0.47252952434299583	0.4462493581664566	0.5263968631844279	0.4959156047238949	0.4221164169350698	0.6096251692106615	0.459412780656304	0.5790505531438174	0.4223964897540027	0.4525043177892919	0.0	0.43845399803949026	0.4605330719320357	0.553050459786211	0.527937263688559	0.5888997806096252	0.48485272837604443	0.5107594641273397	0.4799981328478738	0.5803575596321711	0.5857256219950521	0.5848854035382532	0.542687765485693	0.5686878588432993	0.5261634691686505	0.5755496429071558	0.49675582318069367	0.661625355925874	0.614573122345143	0.5026840311814406	0.477337441068011	0.5354058721934369
18B	0.45689212528590767	0.44526910330019137	0.3976100452784391	0.43541987583438363	0.4079727395789572	0.6247957802361948	0.35737291695840917	0.5808243476637259	0.3341735517901321	0.4301451710778136	0.43845399803949026	0.0	0.39396909863231105	0.35718620174578725	0.452130887364048	0.4932549129440321	0.3830462586939271	0.3595201419035616	0.395882929561686	0.45189749334827056	0.573449096765159	0.5137935863324464	0.37020958782616814	0.4553517247817766	0.3595201419035616	0.6794566587312701	0.39546282033328667	0.6160201652429632	0.5186948606637726	0.37879848760677776	0.46972879615366664	0.4676282500116697
20A	0.4492368015684078	0.4185688278952528	0.44363534518974934	0.42683097605377396	0.37268356439340894	0.6057975073519115	0.3324464360733791	0.5723288054894272	0.3533118610838818	0.5001166970078887	0.4605330719320357	0.39396909863231105	0.0	0.3425757363581198	0.48742006254959624	0.537039630303879	0.38860103626943004	0.43112542594407877	0.37450403771647295	0.46459412780656306	0.5071185174812117	0.4092797460673108	0.3786584511973113	0.4293983102273258	0.42846473416421604	0.5800308080100827	0.38752742379685384	0.5865191616486953	0.4868132381085749	0.35569248004481163	0.46310040610558745	0.48475937076973347
20B	0.479251271997386	0.502730709984596	0.4458759277412127	0.4415347990477524	0.4367735611258927	0.6126126126126126	0.36983615740092424	0.5777902254586192	0.41651496055641135	0.5232227045698549	0.553050459786211	0.35718620174578725	0.3425757363581198	0.0	0.45880595621528264	0.43649348830695983	0.38752742379685384	0.3951360687111982	0.3919619100966251	0.428558091770527	0.5939877701535733	0.4310787471409233	0.34075526303505577	0.43555991224385004	0.39896373056994816	0.6879055221024133	0.35606591047005554	0.5247631050739859	0.4476964010642767	0.29771740652569667	0.5216823040657238	0.45115063249778276
