	pielou_evenness
11A	0.7160381928499104
11B	0.7432560708767814
12A	0.6314395641129341
12B	0.7070368142242911
14A	0.7470490764877383
14B	0.7716545774502442
15A	0.6939652482731563
15B	0.7751703572376372
17A	0.7226959707901406
17B	0.7437786684197567
18A	0.7667231088670909
18B	0.6818729205381074
20A	0.7196587950260052
20B	0.657020854411972
21A	0.7453781197907712
21B	0.6923962115400513
23A	0.6800782067991901
23B	0.6165535682100106
24A	0.6890459729018857
24B	0.6081066788975871
2A	0.7732708043424932
2B	0.707796568355148
3A	0.6959709562134623
3B	0.6552262709427515
5A	0.6328447127605215
5B	0.7848961219042494
6A	0.676895409065381
6B	0.7031420222721604
8A	0.6883804076414249
8B	0.6436166499213689
9A	0.7538685564169265
9B	0.6664160012075793
