	11A	11B	12A	12B	14A	14B	15A	15B	17A	17B	18A	18B	20A	20B	21A	21B	23A	23B	24A	24B	2A	2B	3A	3B	5A	5B	6A	6B	8A	8B	9A	9B
11A	0.0	0.618798955613577	0.6741573033707865	0.6341463414634146	0.6934673366834171	0.6683168316831684	0.68	0.6746411483253588	0.6610978520286396	0.6921348314606741	0.65	0.6749311294765841	0.6725	0.7232876712328767	0.7210526315789474	0.7900262467191601	0.656084656084656	0.7210682492581603	0.6785714285714286	0.7616438356164383	0.7012345679012346	0.6893939393939394	0.7134986225895317	0.6892230576441103	0.6803519061583577	0.7095115681233933	0.6447368421052632	0.7460732984293194	0.6894736842105263	0.6895674300254453	0.683046683046683	0.6693989071038251
11B	0.618798955613577	0.0	0.6225352112676056	0.6289473684210526	0.6335877862595419	0.6055276381909548	0.6431924882629108	0.6404761904761904	0.6335697399527187	0.6718403547671841	0.6062052505966588	0.6504065040650406	0.63	0.6981132075471698	0.7036082474226805	0.7743589743589744	0.6469072164948454	0.6976744186046512	0.6348448687350835	0.739247311827957	0.6723716381418093	0.6464646464646465	0.6954177897574124	0.6259541984732825	0.6845070422535211	0.655440414507772	0.6323907455012854	0.7346938775510204	0.6726804123711341	0.6666666666666666	0.6545012165450121	0.6415094339622641
12A	0.6741573033707865	0.6225352112676056	0.0	0.6352941176470588	0.6703601108033241	0.675531914893617	0.6776649746192893	0.7182044887780549	0.6942355889724311	0.7156398104265402	0.6791979949874687	0.6676737160120846	0.7078947368421052	0.7283582089552239	0.7293447293447294	0.7164634146341463	0.6853932584269663	0.7095709570957096	0.6794871794871795	0.7283950617283951	0.7005347593582888	0.7123655913978495	0.7291666666666666	0.6694214876033058	0.6858974358974359	0.7058823529411765	0.6731843575418994	0.7421203438395415	0.7098591549295775	0.6878453038674033	0.7049608355091384	0.6536144578313253
12B	0.6341463414634146	0.6289473684210526	0.6352941176470588	0.0	0.690537084398977	0.6375321336760925	0.6610169491525424	0.6906474820143885	0.6545012165450121	0.6712962962962963	0.6299019607843137	0.6524216524216524	0.6272965879265092	0.6988636363636364	0.7115902964959568	0.7554945054945055	0.6033519553072626	0.6944444444444444	0.6325	0.7386363636363636	0.6952141057934509	0.6829896907216495	0.6885714285714286	0.6339522546419099	0.6686746987951807	0.6896551724137931	0.633423180592992	0.7473404255319149	0.6827956989247311	0.6692913385826772	0.6632911392405063	0.6544943820224719
14A	0.6934673366834171	0.6335877862595419	0.6703601108033241	0.690537084398977	0.0	0.6177215189873417	0.6322115384615384	0.6457831325301204	0.6420047732696897	0.6741573033707865	0.6309523809523809	0.6819407008086253	0.631979695431472	0.7189189189189189	0.7525252525252525	0.7786458333333334	0.6456692913385826	0.7348703170028819	0.65311004784689	0.7667560321715817	0.6814814814814815	0.6417525773195877	0.7196765498652291	0.6590909090909091	0.7277777777777777	0.671875	0.648578811369509	0.7794486215538847	0.7286432160804021	0.6725888324873096	0.6796116504854369	0.6211699164345403
14B	0.6683168316831684	0.6055276381909548	0.675531914893617	0.6375321336760925	0.6177215189873417	0.0	0.6317016317016317	0.6190476190476191	0.6220657276995305	0.6695842450765864	0.5947867298578199	0.6831168831168831	0.6178660049627791	0.6914893617021277	0.690537084398977	0.7480719794344473	0.6683291770573566	0.7198879551820728	0.6488372093023256	0.7287234042553191	0.6698795180722892	0.6408977556109726	0.6853333333333333	0.6739130434782609	0.7169811320754716	0.6461538461538462	0.6269035532994924	0.7468982630272953	0.6494845360824743	0.654228855721393	0.6745283018867925	0.6744186046511628
15A	0.68	0.6431924882629108	0.6776649746192893	0.6610169491525424	0.6322115384615384	0.6317016317016317	0.0	0.6009280742459396	0.6136363636363636	0.6908713692946058	0.6063348416289592	0.6445012787723785	0.6320754716981132	0.6828644501278772	0.7077294685990339	0.7885985748218527	0.6109725685785536	0.7096774193548387	0.6178489702517163	0.7348484848484849	0.6781609195402298	0.6476190476190476	0.7164179104477612	0.6477541371158393	0.7237851662404092	0.7035294117647058	0.6571428571428571	0.75177304964539	0.6882494004796164	0.6474820143884892	0.673469387755102	0.6430379746835443
15B	0.6746411483253588	0.6404761904761904	0.7182044887780549	0.6906474820143885	0.6457831325301204	0.6190476190476191	0.6009280742459396	0.0	0.6510067114093959	0.6695095948827292	0.6283783783783784	0.6725888324873096	0.6517647058823529	0.73	0.7121951219512195	0.8023809523809524	0.6714975845410628	0.728494623655914	0.6584269662921348	0.7493670886075949	0.6851851851851852	0.6983758700696056	0.7585365853658537	0.6921296296296297	0.6949602122015915	0.6731707317073171	0.6642685851318945	0.7415458937198067	0.7019230769230769	0.6642685851318945	0.6651270207852193	0.6840796019900498
17A	0.6610978520286396	0.6335697399527187	0.6942355889724311	0.6545012165450121	0.6420047732696897	0.6220657276995305	0.6136363636363636	0.6510067114093959	0.0	0.6371490280777538	0.5903890160183066	0.6513994910941476	0.6223277909738717	0.7092731829573935	0.6919315403422983	0.7344913151364765	0.5969773299748111	0.659217877094972	0.6114942528735632	0.7153846153846154	0.7165178571428571	0.700228832951945	0.7035175879396985	0.6413301662707839	0.693717277486911	0.6818181818181818	0.6343825665859564	0.7634660421545667	0.6723300970873787	0.6507177033492823	0.6853932584269663	0.683046683046683
17B	0.6921348314606741	0.6718403547671841	0.7156398104265402	0.6712962962962963	0.6741573033707865	0.6695842450765864	0.6908713692946058	0.6695095948827292	0.6371490280777538	0.0	0.6	0.6973995271867612	0.6554809843400448	0.7388235294117647	0.6761904761904762	0.7387173396674585	0.6863636363636364	0.7380352644836272	0.6869747899159664	0.7205882352941176	0.6576576576576577	0.6997792494481236	0.7244655581947743	0.7136659436008677	0.6967418546365914	0.7117117117117117	0.648960739030023	0.7051886792452831	0.6821345707656613	0.6912751677852349	0.6651982378854625	0.7254004576659039
18A	0.65	0.6062052505966588	0.6791979949874687	0.6299019607843137	0.6309523809523809	0.5947867298578199	0.6063348416289592	0.6283783783783784	0.5903890160183066	0.6	0.0	0.6395939086294417	0.6372093023255814	0.6810126582278481	0.7180094786729858	0.7596153846153846	0.6433734939759036	0.7074468085106383	0.6261261261261262	0.7261306532663316	0.664367816091954	0.674364896073903	0.7142857142857143	0.6651270207852193	0.7182741116751269	0.6832151300236406	0.639618138424821	0.7610208816705336	0.6833333333333333	0.6298076923076923	0.6444954128440367	0.6650246305418719
18B	0.6749311294765841	0.6504065040650406	0.6676737160120846	0.6524216524216524	0.6819407008086253	0.6831168831168831	0.6445012787723785	0.6725888324873096	0.6513994910941476	0.6973995271867612	0.6395939086294417	0.0	0.6631016042780749	0.6656441717791411	0.673469387755102	0.7426900584795322	0.6371428571428571	0.6710963455149501	0.6529562982005142	0.6925465838509317	0.7109375	0.7191601049868767	0.7214076246334311	0.6520547945205479	0.6987577639751553	0.7024793388429752	0.6629834254143646	0.72	0.6770538243626062	0.6666666666666666	0.7084398976982097	0.6782608695652174
20A	0.6725	0.63	0.7078947368421052	0.6272965879265092	0.631979695431472	0.6178660049627791	0.6320754716981132	0.6517647058823529	0.6223277909738717	0.6554809843400448	0.6372093023255814	0.6631016042780749	0.0	0.6712328767123288	0.6984536082474226	0.7596899224806202	0.6131578947368421	0.7106017191977078	0.6034063260340633	0.744	0.6899038461538461	0.6414141414141414	0.7005347593582888	0.6416040100250626	0.6899441340782123	0.6942355889724311	0.6481012658227848	0.7581047381546134	0.6709511568123393	0.6272493573264781	0.6817102137767221	0.6649076517150396
