	shannon_entropy
11A	5.7283055427992835
11B	6.014990875120104
12A	4.896742784110941
12B	5.623909619010547
14A	6.009557197770126
14B	6.280922059469855
15A	5.727063015745633
15B	6.371255798202996
17A	5.964168056310868
17B	6.209605909552524
18A	6.349058308690271
18B	5.328005801300893
20A	5.831602339950715
20B	5.068420181160722
21A	5.84785662301012
21B	5.317242927494787
23A	5.425174225509004
23B	4.594070798486303
24A	5.66671523474457
24B	4.630555914073661
2A	6.245565693257491
2B	5.689919273906127
3A	5.373660785383528
3B	5.281579736523044
5A	4.809564659618911
5B	6.234048833409017
6A	5.426540725292327
6B	5.485140531172657
8A	5.45119030333178
8B	5.159751293182686
9A	6.128410852688939
9B	5.232531198665933
