	11A	11B	12A	12B	14A	14B	15A	15B	17A	17B	18A	18B	20A	20B	21A	21B	23A	23B	24A	24B	2A	2B	3A	3B	5A	5B	6A	6B	8A	8B	9A	9B
11A	0	0.3725154399871826	0.4095233380794525	0.3954057693481445	0.4625706970691681	0.4225630164146423	0.4418586194515228	0.4421606659889221	0.4529400169849396	0.4476551115512848	0.4408066272735596	0.4626284241676331	0.440202385187149	0.4954630136489868	0.492087721824646	0.5613492131233215	0.4263817965984344	0.4882546961307526	0.4450737535953522	0.5328299403190613	0.4761172831058502	0.4366617798805237	0.4961601793766022	0.4698574841022491	0.4296123087406158	0.4686031639575958	0.4077944457530975	0.5064224600791931	0.4485616683959961	0.4519635736942291	0.4587847888469696	0.4275751709938049
11B	0.3725154399871826	0	0.39718097448349	0.3775647878646851	0.3854906260967255	0.3691463768482208	0.4292366504669189	0.4148223996162415	0.4188317060470581	0.4204799830913544	0.4064703583717346	0.4550727605819702	0.4131126403808594	0.4655055105686188	0.4861200153827667	0.5541459918022156	0.4402250051498413	0.506561279296875	0.4316521286964417	0.5251503586769104	0.4411371052265167	0.3813533186912537	0.4902397096157074	0.4113345444202423	0.4445905983448029	0.4083440005779266	0.4151358902454376	0.4802678525447845	0.4178008437156677	0.4443961083889008	0.4256739318370819	0.4173110723495483
12A	0.4095233380794525	0.39718097448349	0	0.4336656630039215	0.4682295918464661	0.4398490786552429	0.4540446400642395	0.5024816393852234	0.4823079705238342	0.4794785678386688	0.4911840260028839	0.4811960756778717	0.5026282072067261	0.4815057814121246	0.4785489439964294	0.5004006028175354	0.4941206872463226	0.5148438811302185	0.4806434810161591	0.5170445442199707	0.480416476726532	0.4436100423336029	0.5097600817680359	0.476687878370285	0.4460247159004211	0.4779040515422821	0.4523556232452393	0.4697151780128479	0.483214259147644	0.4881584942340851	0.4918763041496277	0.4170835018157959
12B	0.3954057693481445	0.3775647878646851	0.4336656630039215	0	0.4820247292518616	0.4195275902748108	0.4630997180938721	0.4636178612709045	0.4746158719062805	0.4711056053638458	0.4565778076648712	0.4787356555461884	0.4567847847938538	0.4782503247261047	0.4992858171463013	0.5542080402374268	0.432817131280899	0.4717893004417419	0.4431345164775848	0.5090619325637817	0.4662896990776062	0.4382432997226715	0.4699914157390594	0.4339540600776672	0.449250727891922	0.4555481970310211	0.4191509485244751	0.4760525226593018	0.4478910863399506	0.4537560939788818	0.4234894812107086	0.4338476955890656
14A	0.4625706970691681	0.3854906260967255	0.4682295918464661	0.4820247292518616	0	0.3955947160720825	0.414892166852951	0.4102741479873657	0.4173552691936493	0.4321006834506989	0.4147459268569946	0.4863433241844177	0.4112215936183929	0.5013284087181091	0.5375993847846985	0.5825177431106567	0.4451911449432373	0.5281444787979126	0.4411667287349701	0.5565592050552368	0.4578586220741272	0.4022974967956543	0.4970934391021729	0.4695823192596436	0.4655247926712036	0.4449524879455566	0.4307422041893005	0.540480375289917	0.491727352142334	0.4806200861930847	0.4328458309173584	0.4120561182498932
14B	0.4225630164146423	0.3691463768482208	0.4398490786552429	0.4195275902748108	0.3955947160720825	0	0.3893825113773346	0.3950895667076111	0.4150442481040955	0.4285548329353333	0.3885913789272308	0.4656316637992859	0.3928004801273346	0.4604454636573792	0.4849704802036285	0.5423220992088318	0.4373088479042053	0.5108466148376465	0.427301824092865	0.5277488231658936	0.4243663847446442	0.3908331692218781	0.4879750311374664	0.4543662071228027	0.477487325668335	0.4189963936805725	0.4020045399665833	0.4834422171115875	0.4217977821826935	0.428765594959259	0.4611301720142365	0.4290956258773804
15A	0.4418586194515228	0.4292366504669189	0.4540446400642395	0.4630997180938721	0.414892166852951	0.3893825113773346	0	0.3761884570121765	0.4039307534694672	0.4513792991638184	0.4064219892024994	0.4550295770168304	0.4049215614795685	0.4853846728801727	0.4815042912960052	0.5749672651290894	0.4020044803619385	0.4926685392856598	0.3957799673080444	0.5330310463905334	0.4583393633365631	0.428934246301651	0.516109824180603	0.4368311166763306	0.4867648482322693	0.47745680809021	0.4162971675395966	0.5069844126701355	0.431109607219696	0.431194543838501	0.4572843015193939	0.4135953485965729
15B	0.4421606659889221	0.4148223996162415	0.5024816393852234	0.4636178612709045	0.4102741479873657	0.3950895667076111	0.3761884570121765	0	0.4169107377529144	0.421305239200592	0.3968187272548676	0.4528448283672333	0.4247910380363464	0.5107184052467346	0.4624021053314209	0.5796401500701904	0.4345321655273438	0.4922622740268707	0.4444390535354614	0.517827033996582	0.4343372285366058	0.440246045589447	0.5130547285079956	0.4661871492862701	0.4555518627166748	0.4388072490692139	0.4122357964515686	0.4852834641933441	0.4452604651451111	0.465723991394043	0.432329386472702	0.4749553501605988
17A	0.4529400169849396	0.4188317060470581	0.4823079705238342	0.4746158719062805	0.4173552691936493	0.4150442481040955	0.4039307534694672	0.4169107377529144	0	0.4260374903678894	0.3574694991111755	0.4387089610099792	0.4011474251747131	0.4932445585727692	0.4838584661483765	0.5343234539031982	0.3687911629676819	0.4699688255786896	0.416010320186615	0.5173081755638123	0.4809004962444305	0.4549550712108612	0.4950233101844788	0.4281386733055115	0.4862012565135956	0.4720293879508972	0.4116987287998199	0.5081093311309814	0.433088630437851	0.4410028457641602	0.4801545441150665	0.4796498715877533
17B	0.4476551115512848	0.4204799830913544	0.4794785678386688	0.4711056053638458	0.4321006834506989	0.4285548329353333	0.4513792991638184	0.421305239200592	0.4260374903678894	0	0.3951561450958252	0.4891422092914581	0.4494776427745819	0.533231794834137	0.4622866809368134	0.5212538838386536	0.4809260666370392	0.5404926538467407	0.4642800986766815	0.5080349445343018	0.4230189323425293	0.432283878326416	0.5016661882400513	0.4972316324710846	0.4414139688014984	0.4581147134304047	0.4166626334190369	0.4529634416103363	0.4226509034633636	0.4801448583602905	0.4212033748626709	0.4760977923870087
