	11A	11B	12A	12B	14A	14B	15A	15B	17A	17B	18A	18B	20A	20B	21A	21B	23A	23B	24A	24B	2A	2B	3A	3B	5A	5B	6A	6B	8A	8B	9A	9B
11A	0	0.2876529693603516	0.3985700309276581	0.3087977766990662	0.4204831719398499	0.6661992073059082	0.3622341454029083	0.5523679256439209	0.3347094357013702	0.5857207775115967	0.4697877466678619	0.4467489421367645	0.4062149524688721	0.5684928297996521	0.5234233140945435	0.6748992800712585	0.3583036065101624	0.3645115792751312	0.3577648997306824	0.7553248405456543	0.5464688539505005	0.5461665987968445	0.4999034404754639	0.3777320683002472	0.4777563214302063	0.7429788708686829	0.4559193253517151	0.6379105448722839	0.6394219994544983	0.5004780888557434	0.4366073608398438	0.3645966351032257
11B	0.2876529693603516	0	0.5555702447891235	0.3893548548221588	0.3138605952262878	0.4637351036071777	0.2993807196617126	0.4177426099777222	0.3387777805328369	0.4910234808921814	0.3573947250843048	0.4048341810703278	0.3709324300289154	0.5547754764556885	0.4595140814781189	0.670027494430542	0.3268888294696808	0.4252207577228546	0.3094784021377563	0.807362973690033	0.4784601330757141	0.5196642875671387	0.4525682032108307	0.3576707541942596	0.5235766768455505	0.6106909513473511	0.40981325507164	0.6876220703125	0.6240645051002502	0.5024184584617615	0.3500455021858215	0.3258279263973236
12A	0.3985700309276581	0.5555702447891235	0	0.2869348227977753	0.5832351446151733	0.9101734161376953	0.5096642971038818	0.736229419708252	0.4627867341041565	0.7076475620269775	0.6957628130912781	0.4852853119373322	0.5286450982093811	0.5011893510818481	0.5323301553726196	0.6074983477592468	0.4183712899684906	0.3269148766994476	0.5024281144142151	0.6220476031303406	0.7053195834159851	0.5940213203430176	0.5345629453659058	0.4233681261539459	0.4154060184955597	0.9373263120651245	0.4194230437278748	0.5808711051940918	0.5751729607582092	0.5078324675559998	0.6046751141548157	0.4149821400642395
12B	0.3087977766990662	0.3893548548221588	0.2869348227977753	0	0.4661968350410461	0.7245947122573853	0.4251790046691895	0.5741120576858521	0.3819741606712341	0.623150110244751	0.5626264214515686	0.4535988569259644	0.4228945374488831	0.4251458048820496	0.4795501828193665	0.5707526206970215	0.300722599029541	0.2879525721073151	0.399491012096405	0.5811968445777893	0.5573243498802185	0.4573146998882294	0.4793098866939545	0.2462043762207031	0.4419474303722382	0.7575674057006836	0.3056338429450989	0.4881263673305511	0.4580918252468109	0.4016425609588623	0.472115695476532	0.262787252664566
14A	0.4204831719398499	0.3138605952262878	0.5832351446151733	0.4661968350410461	0	0.4715377688407898	0.2368185818195343	0.3169139325618744	0.2895914316177368	0.3955681920051575	0.3262176215648651	0.4000676572322845	0.2723063826560974	0.4670189619064331	0.4798489212989807	0.5931869745254517	0.4322775602340698	0.4887737631797791	0.3326645493507385	0.7268127202987671	0.382717490196228	0.3977012038230896	0.4457195401191711	0.4721821546554565	0.5240161418914795	0.6178957223892212	0.4024911522865295	0.6190508008003235	0.5352924466133118	0.4333015382289886	0.376592218875885	0.4521385729312897
14B	0.6661992073059082	0.4637351036071777	0.9101734161376953	0.7245947122573853	0.4715377688407898	0	0.5153331160545349	0.3504977226257324	0.5852624177932739	0.5288889408111572	0.4825919270515442	0.6316990852355957	0.5462487936019897	0.7134904265403748	0.625156581401825	0.8079705834388733	0.6501463651657104	0.75851970911026	0.5829978585243225	0.9938671588897705	0.5179548263549805	0.6000733971595764	0.6414693593978882	0.6681303977966309	0.850325882434845	0.5040944218635559	0.6371616721153259	0.8140389919281006	0.7452980279922485	0.722764253616333	0.6460608839988708	0.6612411141395569
15A	0.3622341454029083	0.2993807196617126	0.5096642971038818	0.4251790046691895	0.2368185818195343	0.5153331160545349	0	0.4094449281692505	0.1953820884227753	0.3751033544540405	0.3654220700263977	0.2973553538322449	0.1981853991746902	0.3506262004375458	0.3444148302078247	0.5125882625579834	0.3545967638492584	0.3539613485336304	0.2204718589782715	0.6393415927886963	0.4185461401939392	0.3746961057186127	0.3277661800384521	0.3960611522197723	0.4550818800926208	0.6271615028381348	0.2677371799945831	0.5924907922744751	0.4912299513816833	0.3243291079998016	0.4051511585712433	0.3861535489559174
15B	0.5523679256439209	0.4177426099777222	0.736229419708252	0.5741120576858521	0.3169139325618744	0.3504977226257324	0.4094449281692505	0	0.4612451195716858	0.5322868227958679	0.4582537412643433	0.5816881060600281	0.434732973575592	0.5917797088623047	0.5866058468818665	0.7358676791191101	0.5458669662475586	0.6313215494155884	0.4586990475654602	0.8365413546562195	0.4304978549480438	0.4727595746517181	0.6174523830413818	0.5423430204391479	0.7331265807151794	0.6016629934310913	0.5175349712371826	0.6551185846328735	0.5934895873069763	0.5685082674026489	0.5416021943092346	0.5403530597686768
17A	0.3347094357013702	0.3387777805328369	0.4627867341041565	0.3819741606712341	0.2895914316177368	0.5852624177932739	0.1953820884227753	0.4612451195716858	0	0.392803281545639	0.3735825419425964	0.2544262409210205	0.2058942764997482	0.378156989812851	0.3398302793502808	0.4727632999420166	0.3555756509304047	0.358090877532959	0.2521047294139862	0.6057169437408447	0.4515615105628967	0.4099284410476685	0.3288319706916809	0.398815393447876	0.4083276391029358	0.6312745809555054	0.2800475358963013	0.549609363079071	0.4610159695148468	0.3399371802806854	0.4428900182247162	0.4082115590572357
17B	0.5857207775115967	0.4910234808921814	0.7076475620269775	0.623150110244751	0.3955681920051575	0.5288889408111572	0.3751033544540405	0.5322868227958679	0.392803281545639	0	0.3225351870059967	0.4260983467102051	0.4237428605556488	0.5727822780609131	0.4466374218463898	0.5710654854774475	0.6224005222320557	0.5948131084442139	0.4285719394683838	0.8063860535621643	0.4869030117988586	0.5493266582489014	0.5082650184631348	0.6523186564445496	0.5859292149543762	0.5084449052810669	0.5029788017272949	0.7384704351425171	0.672344982624054	0.5496708750724792	0.5625510215759277	0.6276678442955017
18A	0.4697877466678619	0.3573947250843048	0.6957628130912781	0.5626264214515686	0.3262176215648651	0.4825919270515442	0.3654220700263977	0.4582537412643433	0.3735825419425964	0.3225351870059967	0	0.4413801431655884	0.4278512299060822	0.6196067333221436	0.4697159230709076	0.6459587216377258	0.5177032351493835	0.5640962719917297	0.4009887874126434	0.847661554813385	0.4778937101364136	0.5529057383537292	0.5183849930763245	0.5667126178741455	0.622402548789978	0.5444754362106323	0.5089285373687744	0.7385879158973694	0.682657778263092	0.5684980750083923	0.4677412211894989	0.5361823439598083
18B	0.4467489421367645	0.4048341810703278	0.4852853119373322	0.4535988569259644	0.4000676572322845	0.6316990852355957	0.2973553538322449	0.5816881060600281	0.2544262409210205	0.4260983467102051	0.4413801431655884	0	0.3015522658824921	0.3193455040454865	0.3093984127044678	0.4064552485942841	0.3336673080921173	0.3467916548252106	0.3202710747718811	0.6083229184150696	0.5418106913566589	0.5291990637779236	0.2430324256420135	0.4168031215667725	0.3199760317802429	0.6780315041542053	0.3207294940948486	0.5977082252502441	0.5193114280700684	0.3913714289665222	0.5023766160011292	0.4207416772842407
20A	0.4062149524688721	0.3709324300289154	0.5286450982093811	0.4228945374488831	0.2723063826560974	0.5462487936019897	0.1981853991746902	0.434732973575592	0.2058942764997482	0.4237428605556488	0.4278512299060822	0.3015522658824921	0	0.3270302712917328	0.3819209039211273	0.4886728227138519	0.3676950335502625	0.3891661167144775	0.2701120674610138	0.6052520275115967	0.4201995730400085	0.3478738367557526	0.3153838813304901	0.3897387385368347	0.4365682303905487	0.6199485063552856	0.3053964674472809	0.5609659552574158	0.4543432295322418	0.3157815635204315	0.4608157277107239	0.4306457340717316
20B	0.5684928297996521	0.5547754764556885	0.5011893510818481	0.4251458048820496	0.4670189619064331	0.7134904265403748	0.3506262004375458	0.5917797088623047	0.378156989812851	0.5727822780609131	0.6196067333221436	0.3193455040454865	0.3270302712917328	0	0.3749261796474457	0.3613497614860535	0.3784408569335938	0.3673774003982544	0.3883682489395142	0.5252684950828552	0.6158031225204468	0.4101534187793732	0.3119364082813263	0.3701144456863403	0.4072985351085663	0.7763890624046326	0.2683210968971252	0.5040916204452515	0.4196139574050903	0.2933124303817749	0.640857994556427	0.414951354265213
21A	0.5234233140945435	0.4595140814781189	0.5323301553726196	0.4795501828193665	0.4798489212989807	0.625156581401825	0.3444148302078247	0.5866058468818665	0.3398302793502808	0.4466374218463898	0.4697159230709076	0.3093984127044678	0.3819209039211273	0.3749261796474457	0	0.3230386674404144	0.3994184136390686	0.4235184788703918	0.3681635856628418	0.6203657984733582	0.5504204034805298	0.497618705034256	0.2961001098155975	0.4617234468460083	0.4581849575042725	0.6241301298141479	0.3318675756454468	0.5432140231132507	0.484719306230545	0.463474452495575	0.5925122499465942	0.4554774165153503
21B	0.6748992800712585	0.670027494430542	0.6074983477592468	0.5707526206970215	0.5931869745254517	0.8079705834388733	0.5125882625579834	0.7358676791191101	0.4727632999420166	0.5710654854774475	0.6459587216377258	0.4064552485942841	0.4886728227138519	0.3613497614860535	0.3230386674404144	0	0.5732513070106506	0.5660490393638611	0.5543346405029297	0.6035192012786865	0.6491453647613525	0.5901055932044983	0.3884918391704559	0.6135472655296326	0.3890917003154755	0.8215252161026001	0.4627633392810822	0.5266774892807007	0.5651795268058777	0.5049579739570618	0.7065969705581665	0.5993817448616028
