	10	11	11A	11B	12	12A	12B	14A	14B	15	15A	15B	16	17	17A	17B	18	18A	18B	20A	20B	21	21A	21B	22	23	23A	23B	24	24A	24B	27	28	29	2A	2B	3	30	33	34	35	36	39	3A	3B	4	40	41	42	45	46	47	48	5	51	52	53	54	57	58	59	5A	5B	6	60	6A	6B	8A	8B	9	9A	9B
10	0.0	0.5098369532519103	0.49232898140906084	0.5174778894170026	0.39624571325431684	0.4221165994825823	0.4783707358161362	0.5103182720654593	0.7500752060646171	0.4700078214307202	0.42458335840202155	0.7043499187774502	0.5290295409421816	0.4739185367908068	0.4148968172793454	0.5254196498405631	0.46357018229950064	0.5642861440346549	0.3598459779796643	0.46639793032910176	0.39702785632633414	0.5278262439083088	0.5032188195656098	0.4402262198423681	0.46032128030804403	0.502677335900367	0.4721135912399976	0.4076168702244149	0.4939534324047891	0.43583418566873233	0.5092353047349738	0.3615305938270862	0.5294506949040371	0.7504361951747789	0.6444858913422779	0.5719270801997474	0.5420251489080079	0.7683051561277902	0.5186811864508754	0.45568858672763374	0.3426388303952831	0.45075506888875516	0.5988809337584983	0.40665423259731664	0.5029781601588352	0.3738042235725889	0.40027675831779075	0.7077191504722941	0.6477347933337344	0.4591781481258649	0.43053967871969195	0.7607243848143914	0.7219180554719933	0.7066963479935022	0.4479273208591541	0.6769749112568437	0.48095782443896273	0.6254136333553938	0.6534504542446303	0.32886107935743936	0.39215450333914925	0.2588893568377354	0.7401480055351664	0.4267492930629926	0.7485109199205824	0.44672402382528126	0.6297455026773359	0.6063413753685097	0.43138198664340294	0.5623007039287649	0.5346850370013838	0.48402623187533844
11	0.5098369532519103	0.0	0.4676613922146682	0.4423319896516455	0.39624571325431684	0.4534023223632754	0.42903555742735094	0.3956440647373804	0.6178930268936887	0.4036459900126346	0.38637867757655975	0.5526141628060887	0.3877624691655135	0.508693821069731	0.3836110943986523	0.49046387100655797	0.47458035015943684	0.4674808976595873	0.4837254076168702	0.3918536790806811	0.48258227543469107	0.5122435473196558	0.5370314662174358	0.5796281812165333	0.44094819806269175	0.48492870465074306	0.4925696408158354	0.47464051501113047	0.4513567174056916	0.4210937970037904	0.5016545334215751	0.462667709524096	0.5082726671078756	0.5718669153480537	0.505685578485049	0.44888995848625235	0.44161001143132184	0.5967751639492208	0.4117682449912761	0.4592383129775585	0.45845616990554117	0.5619397148186029	0.47806991155766804	0.48336441850670836	0.49894711509536127	0.4642921605198243	0.4061127489320739	0.5685578485049034	0.48510919920582396	0.4572528728716684	0.4367968232958306	0.5858853257926719	0.590397689669695	0.5531556464713314	0.5008122254978642	0.577341916852175	0.39450093255520124	0.44221165994825823	0.5749353227844294	0.4792732085915408	0.48276276998977197	0.49503639973527463	0.5407015221707479	0.3926358221526984	0.6125383550929547	0.40665423259731664	0.5683773539498225	0.4710907887612057	0.3948619216653631	0.46597677636724627	0.37789543348775645	0.47656579026532697
11A	0.49232898140906084	0.4676613922146682	0.0	0.31135310751459	0.47867156007460443	0.34985861259851997	0.3315684976836532	0.46224655556224054	0.6304674808976596	0.45424463028698636	0.3844534023223633	0.6021298357499548	0.47806991155766804	0.34408278683593047	0.397388845436496	0.5712652668311172	0.4195295108597557	0.4748210095662114	0.45911798327417125	0.44816798026592863	0.4824017808796101	0.5944287347331689	0.5288490463871006	0.6550749052403586	0.4284940737621082	0.524938331027014	0.34853498586125986	0.36237290175079717	0.4608627639732868	0.4052704410083629	0.577161422297094	0.5104987666205403	0.5843210396486372	0.6080259912159317	0.5753564767462849	0.49461524577341914	0.42548583117742617	0.6774562300703929	0.45647072979965103	0.42049214848685396	0.504843270561338	0.6190963239275615	0.5373924553275976	0.4493712772998015	0.3631550448228145	0.47608447145177785	0.38084351122074483	0.6921364538836412	0.6024908248601167	0.4725949100535467	0.4464231995668131	0.6656639191384394	0.6374466036941219	0.6153661031225558	0.5077311834426328	0.6445460561939714	0.4568918837615065	0.5094759641417483	0.601768846639793	0.47488117441790506	0.4775284278924252	0.4711509536128993	0.6453281992659888	0.4162204440166055	0.6299259972324168	0.3860778533180916	0.5996630768305156	0.5629625172973949	0.4251248420672643	0.4570723783165874	0.41477648757595814	0.3677877384032248
11B	0.5174778894170026	0.4423319896516455	0.31135310751459	0.0	0.4598399614944949	0.43607484507550687	0.3717586186150051	0.4162204440166055	0.5286083869803261	0.45249984958787076	0.34793333734432347	0.5597136153059382	0.44630286986342577	0.4095421454786114	0.39985560435593526	0.5538174598399614	0.4468443535286685	0.4457012213464894	0.44672402382528126	0.4129715420251489	0.5036399735274653	0.5928042837374405	0.4905240358582516	0.6566993562360869	0.46567595210877805	0.5356476746284821	0.31568497683653207	0.3878226340172071	0.4165212682750737	0.3836110943986523	0.5777029059623368	0.4902232115997834	0.6035737921906023	0.5337223993742856	0.5485831177426148	0.49046387100655797	0.4123097286565189	0.6400336923169484	0.4266289633596053	0.4490102881896396	0.5221707478491066	0.6175922026352205	0.5060465675952108	0.4389627579568016	0.34937729378497084	0.5004512363877023	0.3588231755008724	0.6761326033331327	0.5731303772336201	0.46296853378256425	0.46104325852836775	0.6283617110883821	0.5583899885686782	0.5474399855604356	0.5248180013236268	0.6426809457914686	0.47205342638830394	0.4711509536128993	0.5971361530593827	0.514228987425546	0.50652788640876	0.5139281631670778	0.590879008483244	0.37067565128451957	0.5730702123819265	0.3763311473437218	0.6381084170627519	0.5820949401359725	0.4197701702665303	0.45947897238433305	0.4048492870465074	0.34793333734432347
12	0.39624571325431684	0.39624571325431684	0.47867156007460443	0.4598399614944949	0.0	0.42771193069009084	0.45947897238433305	0.4093616509235305	0.6478551230371217	0.44209133024487096	0.37001383791588954	0.586547139161302	0.4685638649900728	0.4697671620239456	0.388183623127369	0.4732567234221768	0.42650863365621805	0.47265507490524034	0.32807893628542206	0.3600264725347452	0.39365862463149026	0.50718969977739	0.47674628482040793	0.48865892545574874	0.4347512183382468	0.4721135912399976	0.4642921605198243	0.41778473016064016	0.47229408579507853	0.393538294928103	0.4913663437819626	0.3806028518139703	0.49726249924793936	0.5385957523614704	0.5206064617050719	0.4272306118765417	0.45496660850731	0.6873834305998435	0.45009325552012514	0.43992539558389987	0.3993141206906925	0.48378557246856385	0.5446122375308344	0.4109861019192588	0.4878166175320378	0.3571987245051441	0.3586426809457915	0.6257746224655556	0.5576680103483544	0.3987124721737561	0.39937428554238613	0.6733650201552254	0.6302869863425786	0.5668130678057879	0.44864929907947776	0.6378677576559774	0.3948619216653631	0.5101377775103785	0.5822754346910535	0.3714577943565369	0.3867396666867216	0.3773539498225137	0.6698754587569942	0.3899885686781782	0.6681908429095722	0.4046687924914265	0.6036339570422959	0.5512905360688286	0.3824679622164731	0.4811984838457373	0.43968473617712533	0.4413091871728536
12A	0.4221165994825823	0.4534023223632754	0.34985861259851997	0.43607484507550687	0.42771193069009084	0.0	0.29131821190060764	0.45400397088021177	0.7148186029721437	0.392034173635762	0.41603994946152456	0.6169905541182841	0.45574875157932737	0.3315083328319596	0.3722399374285542	0.518741351302569	0.4025630226821491	0.5260212983574996	0.3988328018771434	0.4425726490584201	0.4488297936345587	0.4899223873413152	0.5141688225738523	0.5464171830816437	0.3777751037843692	0.456651224354732	0.4164009385716864	0.31189459117983276	0.4410685277660791	0.42759160098670357	0.47680644967210156	0.37615065278864085	0.485771012574454	0.7091029420612478	0.5826364238012153	0.5087539859214247	0.4656157872570844	0.6673485349858612	0.4854701883159858	0.4185067083809638	0.40322483605077913	0.5623007039287649	0.5828770832079899	0.4421514950965646	0.3814451597376812	0.3515432284459419	0.36682510077612657	0.6766740869983755	0.5830575777630708	0.4485289693760905	0.43842127429155886	0.6629565008122255	0.6620540280368209	0.613320498164972	0.41989049996991756	0.5831177426147645	0.399735274652548	0.5770410925937067	0.5735515311954756	0.37897840081824197	0.43180314060525843	0.39552373503399313	0.6942422236929185	0.42650863365621805	0.6810661211720113	0.3874014800553517	0.5725888935683774	0.518741351302569	0.40502978160158837	0.523434209734673	0.44846880452439686	0.37891823596654833
12B	0.4783707358161362	0.42903555742735094	0.3315684976836532	0.3717586186150051	0.45947897238433305	0.29131821190060764	0.0	0.4517778713675471	0.630226821490885	0.38728115035196436	0.41110643162264604	0.5830575777630708	0.4126707177666807	0.33421575115817337	0.37621081764033454	0.5147704710907888	0.37597015823355995	0.4997292581673786	0.4366163287407497	0.42536550147403884	0.44443775946092295	0.4860116719812286	0.4928704650743036	0.5662114192888514	0.4062932434871548	0.4460020456049576	0.3592443294627279	0.36465916611515553	0.42325973166476144	0.41983033511822393	0.4657361169604717	0.40876000240659405	0.47506166897298596	0.6253534685037001	0.5378136092894531	0.45779435653691114	0.4295770410925937	0.5837193911317009	0.45057457433367426	0.41182840984296976	0.4144756633174899	0.5591119667890019	0.5087539859214247	0.4344503940797786	0.31369953673064194	0.4018410444618254	0.3862583478731725	0.6823295830575777	0.516575416641598	0.4574935322784429	0.44997292581673787	0.576499608928464	0.605138078334637	0.5316767944167018	0.43114132723662835	0.5462968533782564	0.39522291077552496	0.48835810119728057	0.507370194332471	0.4246435232537152	0.4283737440587209	0.46020095060465677	0.6283617110883821	0.42247758859274415	0.6275194031646713	0.36255339630587813	0.5533963058781061	0.4817399675109801	0.37861741170808016	0.46742073280789365	0.3976896696949642	0.34600806209012697
14A	0.5103182720654593	0.3956440647373804	0.46224655556224054	0.4162204440166055	0.4093616509235305	0.45400397088021177	0.4517778713675471	0.0	0.5563443836110944	0.41218939895313156	0.3592443294627279	0.48143914325251186	0.39329763552132846	0.46669875458756993	0.3932374706696348	0.4687443595451537	0.4673004031045063	0.42356055592322966	0.4124902232115998	0.36664460622104567	0.4347512183382468	0.525118825582095	0.5448528969376091	0.5991817580169665	0.41928885145298117	0.5081523374044883	0.41561879549966907	0.4756633174899224	0.4432344624270501	0.42458335840202155	0.5243366825100776	0.45430479513868	0.5427471271283316	0.5621202093736839	0.5052644245231935	0.48685397990493956	0.4414896817279345	0.6407556705372721	0.4146561578725708	0.44846880452439686	0.45382347632513087	0.5730702123819265	0.5210276156669273	0.46585644666385895	0.48276276998977197	0.47806991155766804	0.36784790325491845	0.6175922026352205	0.5271644305396788	0.46802238132483004	0.4655556224053908	0.6020095060465676	0.5937067565128452	0.5352866855183201	0.49708200469285846	0.615005114012394	0.3636965284880573	0.46399133626135614	0.5332410805607364	0.47054930509596293	0.4715119427230612	0.48035617592202634	0.5931652728476025	0.38794296372059445	0.6239696769147464	0.4278322603934781	0.6002045604957584	0.511040250285783	0.41778473016064016	0.496480356175922	0.4251248420672643	0.4483484748210096
14B	0.7500752060646171	0.6178930268936887	0.6304674808976596	0.5286083869803261	0.6478551230371217	0.7148186029721437	0.630226821490885	0.5563443836110944	0.0	0.6592262800072198	0.5695806509836954	0.5160940978280488	0.5777029059623368	0.6843751880151615	0.6262559412791048	0.6606702364478672	0.6713795800493352	0.610131761025209	0.6343781962577463	0.6083869803260935	0.616328740749654	0.6609710607063354	0.6375669333975091	0.767162023945611	0.6327537452620179	0.5491847662595511	0.6316106130798388	0.6867817820829072	0.613982311533602	0.6225858853257926	0.7098249202815715	0.678779856807653	0.6890078815955719	0.537332290475904	0.6347391853679081	0.6174718729318333	0.6396727032067866	0.4893207388243788	0.6144034654954575	0.66253534685037	0.6930389266590458	0.7426749293062993	0.5055652487816618	0.6296853378256423	0.6532699596895494	0.7397268515733109	0.6147042897539258	0.7532037783526864	0.6331147343721798	0.6699356236086879	0.6520666626556766	0.4689850189519283	0.4839059021719511	0.5856446663858974	0.6216232476986944	0.7251669574634498	0.6524878166175321	0.5443715781240599	0.6092894531014981	0.7285361891582938	0.6604897418927862	0.7506768545815534	0.6301666566391914	0.612478190241261	0.4685638649900728	0.5766801034835449	0.7198724505144095	0.6632573250706937	0.6060405511100415	0.5399795439504241	0.6509235304734974	0.6758317790746646
15	0.4700078214307202	0.4036459900126346	0.45424463028698636	0.45249984958787076	0.44209133024487096	0.392034173635762	0.38728115035196436	0.41218939895313156	0.6592262800072198	0.0	0.4026833523855364	0.603272967932134	0.31412069069249743	0.40966247518199866	0.3810841706275194	0.5639853197761867	0.44311413272366285	0.49575837795559835	0.4429938030202756	0.40160038505505086	0.4147163227242645	0.4792732085915408	0.5001504121292341	0.5573070212381926	0.3509415799290055	0.4485289693760905	0.3905902171951146	0.42055231333854765	0.4261476445460562	0.449611936706576	0.446603694121894	0.36495999037362375	0.4758438120450033	0.6194573130377233	0.5609770771915047	0.48685397990493956	0.4530413332531135	0.585043017868961	0.4304795138679983	0.37813609289453104	0.408940496961675	0.6050779134829433	0.5021358522351242	0.44967210155826964	0.4250646772155707	0.4327657782323567	0.3472715239756934	0.6564586968293123	0.5827567535046027	0.4118885746946634	0.4605619397148186	0.5931051079959088	0.589374887190903	0.5804704891402442	0.4164009385716864	0.5138078334636905	0.40815835388965765	0.5612177365982793	0.5285482221286325	0.4351122074484086	0.3991336261356116	0.46742073280789365	0.6128391793514228	0.4525600144395644	0.6605499067444799	0.3903495577883401	0.565790265326996	0.46002045604957587	0.40430780338126465	0.47656579026532697	0.4894410685277661	0.40370615486432826
