#SampleID	faith_pd
10	48.29278054304433
11	71.90096480767681
11A	68.45906017763764
11B	74.4664350197973
12	61.31565273049705
12A	61.31825423917076
12B	64.84597757816857
14A	70.2347284286783
14B	73.20876589309702
15	60.69944819737651
15A	73.75503666417777
15B	77.28287865258984
16	59.57214261899816
17	54.93064227891111
17A	77.17678406103154
17B	79.07119477940307
18	66.58343821264378
18A	80.03651357499729
18B	60.96510202209316
20A	70.87856580099222
20B	58.75425447094932
21	48.80575384578202
21A	63.32107928722571
21B	56.4058080556684
22	55.5098281549387
23	61.79949074884797
23A	65.38950758300776
23B	51.11875108046327
24	62.15414982039692
24A	71.98635692564768
24B	54.4233912288577
27	46.56610870398879
28	58.19732878148053
29	70.40766464693822
2A	72.77434938157106
2B	71.83553420780422
3	71.96597156131857
30	70.03504293541454
33	81.84334341684843
34	63.43774849387773
35	58.36631190019199
36	56.04779679205336
39	62.3280773074605
3A	57.13268996535476
3B	68.48738109030434
4	56.80663728193537
40	71.88059443098435
41	75.98398910378884
42	74.41288980088224
45	48.74584108549305
46	68.07210891017286
47	66.39680945948373
48	69.14675490809631
5	62.80874913431484
51	55.56524757589339
52	50.01033694672603
53	55.92537387158841
54	78.80259711268178
57	63.52199858076552
58	60.59165814737884
59	56.44857692528412
5A	59.86290711430348
5B	67.90429566110203
6	75.43692219717178
60	81.27601262895314
6A	69.95302226496887
6B	65.18377743969526
8A	67.03620048393972
8B	66.86428893497751
9	62.08129021662458
9A	73.11937806940249
9B	67.04786652852829
