	10	11	11A	11B	12	12A	12B	14A	14B	15	15A	15B	16	17	17A	17B	18	18A	18B	20A	20B	21	21A	21B	22	23	23A	23B	24	24A	24B	27	28	29	2A	2B	3	30	33	34	35	36	39	3A	3B	4	40	41	42	45	46	47	48	5	51	52	53	54	57	58	59	5A	5B	6	60	6A	6B	8A	8B	9	9A	9B
10	0.0	0.7020648967551623	0.7294117647058823	0.7142857142857143	0.7229299363057324	0.7	0.7181818181818181	0.7079646017699115	0.7438692098092643	0.6608391608391608	0.717741935483871	0.7597911227154047	0.7320261437908496	0.6892857142857143	0.7184986595174263	0.7309644670050761	0.7191358024691358	0.7236842105263158	0.6406779661016949	0.7215909090909091	0.6972789115646258	0.6791044776119403	0.6775244299674267	0.7373737373737373	0.7153024911032029	0.73	0.6892307692307692	0.7037037037037037	0.7114093959731543	0.6888888888888889	0.7197231833910035	0.7058823529411765	0.7087378640776699	0.7455621301775148	0.748587570621469	0.7746478873239436	0.7238372093023255	0.7653958944281525	0.7549019607843137	0.7009345794392523	0.6912751677852349	0.7364864864864865	0.7570093457943925	0.688135593220339	0.6876876876876877	0.7423728813559322	0.7008547008547008	0.791005291005291	0.7277628032345014	0.7366412213740458	0.6906906906906907	0.7461300309597523	0.7752808988764045	0.7428571428571429	0.7214765100671141	0.7456445993031359	0.7457627118644068	0.7590673575129534	0.734375	0.7175324675324676	0.6779661016949152	0.7152777777777778	0.7674418604651163	0.6931506849315069	0.754950495049505	0.7009063444108762	0.7872340425531915	0.7492537313432835	0.6932515337423313	0.7311475409836066	0.7741935483870968	0.6935483870967742
11	0.7020648967551623	0.0	0.673469387755102	0.6169665809768637	0.6186440677966102	0.6868131868131868	0.662303664921466	0.6408268733850129	0.6240601503759399	0.6732394366197183	0.6579572446555819	0.6498800959232613	0.6515580736543909	0.684971098265896	0.645933014354067	0.6605922551252847	0.6514745308310992	0.6092233009708737	0.6925133689839572	0.6134020618556701	0.7166212534059946	0.7076023391812866	0.7268041237113402	0.7553763440860215	0.6715976331360947	0.6788732394366197	0.6614583333333334	0.7079646017699115	0.6666666666666666	0.669833729216152	0.7277777777777777	0.7485029940119761	0.7416020671834626	0.6561679790026247	0.6888888888888889	0.6555269922879178	0.6347150259067358	0.6605263157894737	0.6515837104072398	0.6883116883116883	0.7010869565217391	0.7094972067039106	0.7047872340425532	0.7196765498652291	0.6641221374045801	0.6923076923076923	0.6157760814249363	0.6835748792270532	0.6538461538461539	0.6865203761755486	0.6632653061224489	0.6675675675675675	0.6354166666666666	0.6366197183098592	0.7426273458445041	0.7308781869688386	0.6801152737752162	0.6595744680851063	0.7026315789473684	0.7085561497326203	0.6795580110497238	0.6988636363636364	0.6310160427807486	0.6611374407582938	0.6628959276018099	0.6223404255319149	0.7512820512820513	0.6762402088772846	0.6437994722955145	0.6657303370786517	0.6297229219143576	0.6493150684931507
11A	0.7294117647058823	0.673469387755102	0.0	0.6197916666666666	0.7035040431266847	0.676056338028169	0.6368563685636857	0.6919191919191919	0.6707616707616708	0.692090395480226	0.6769596199524941	0.6754176610978521	0.7419354838709677	0.7043478260869566	0.6586538461538461	0.6936936936936937	0.6585365853658537	0.6547619047619048	0.6749311294765841	0.6716791979949874	0.7245179063360881	0.7528735632183908	0.7210526315789474	0.7898936170212766	0.7180232558139535	0.7404371584699454	0.6542553191489362	0.7202380952380952	0.7182320441988951	0.6825775656324582	0.7603305785123967	0.7423312883435583	0.7622739018087855	0.6909090909090909	0.7022332506203474	0.6895674300254453	0.6449086161879896	0.7284263959390863	0.6575342465753424	0.6816976127320955	0.7331536388140162	0.7527472527472527	0.7192513368983957	0.7134986225895317	0.6911392405063291	0.7295774647887324	0.6633416458852868	0.7540603248259861	0.6666666666666666	0.7314814814814815	0.6903553299492385	0.713527851458886	0.7035175879396985	0.7306666666666667	0.7438692098092643	0.7743732590529248	0.6956521739130435	0.7060185185185185	0.716931216931217	0.6731843575418994	0.7297297297297297	0.6803519061583577	0.710997442455243	0.6800947867298578	0.6869369369369369	0.6436170212765957	0.7427821522309711	0.6902887139107612	0.6857142857142857	0.6918767507002801	0.683046683046683	0.6712328767123288
11B	0.7142857142857143	0.6169665809768637	0.6197916666666666	0.0	0.6403269754768393	0.6214689265536724	0.6253298153034301	0.6326530612244898	0.6059850374064838	0.6564245810055865	0.6438679245283019	0.6389548693586699	0.6721311475409836	0.6443148688046647	0.6285714285714286	0.6740576496674058	0.660574412532637	0.6085918854415274	0.6476964769647696	0.63	0.6964769647696477	0.7231638418079096	0.7043701799485861	0.7714285714285715	0.6960227272727273	0.6983695652173914	0.6494845360824743	0.7014492753623188	0.6972972972972973	0.639618138424821	0.738544474393531	0.6990881458966566	0.7289002557544757	0.640625	0.6707616707616708	0.6437659033078881	0.6370558375634517	0.6959798994974874	0.6533333333333333	0.6692506459948321	0.708994708994709	0.7277628032345014	0.6639784946236559	0.692722371967655	0.6352040816326531	0.7185792349726776	0.6184538653366584	0.6817102137767221	0.6619718309859155	0.6960486322188449	0.6782178217821783	0.6763157894736842	0.6515151515151515	0.675603217158177	0.7054054054054054	0.7277777777777777	0.6853932584269663	0.6581395348837209	0.6550802139037433	0.6888297872340425	0.6916890080428955	0.6853932584269663	0.654639175257732	0.665893271461717	0.63718820861678	0.6356589147286822	0.7353689567430025	0.6743589743589744	0.659846547314578	0.6891891891891891	0.6520681265206812	0.6442048517520216
12	0.7229299363057324	0.6186440677966102	0.7035040431266847	0.6403269754768393	0.0	0.6656534954407295	0.6666666666666666	0.6396648044692738	0.671875	0.637223974763407	0.6615776081424937	0.6494845360824743	0.6797583081570997	0.6793650793650794	0.6791979949874687	0.6739130434782609	0.6855524079320113	0.6582914572864321	0.6486486486486487	0.6586021505376344	0.7104477611940299	0.7445482866043613	0.729050279329609	0.7492625368731564	0.7227414330218068	0.7164179104477612	0.6731843575418994	0.7170418006430869	0.6957831325301205	0.6975	0.7529761904761905	0.7324414715719063	0.7415730337078652	0.6446991404011462	0.6844919786096256	0.6629834254143646	0.6593406593406593	0.6944444444444444	0.6832151300236406	0.6983240223463687	0.716374269005848	0.7297297297297297	0.7236467236467237	0.7288629737609329	0.6829268292682927	0.6996904024767802	0.6277173913043478	0.7286432160804021	0.707196029776675	0.6986301369863014	0.6856368563685636	0.7175141242937854	0.674863387978142	0.6716417910447762	0.75	0.7680722891566265	0.7225609756097561	0.6865671641791045	0.7211267605633803	0.7204610951008645	0.7201166180758017	0.6987577639751553	0.728494623655914	0.6547314578005116	0.7222222222222222	0.6582633053221288	0.7308781869688386	0.7142857142857143	0.6986301369863014	0.6417445482866043	0.6780104712041884	0.6488095238095238
12A	0.7	0.6868131868131868	0.676056338028169	0.6214689265536724	0.6656534954407295	0.0	0.636094674556213	0.6666666666666666	0.6763925729442971	0.6925465838509317	0.6760925449871465	0.7206982543640897	0.6972477064220184	0.6764705882352942	0.6936708860759494	0.7129186602870813	0.7094017094017094	0.6759493670886076	0.6656534954407295	0.7055702917771883	0.7280966767371602	0.6889632107023411	0.7277936962750716	0.7133956386292835	0.6875	0.6947040498442367	0.6818181818181818	0.7066666666666667	0.709480122324159	0.6753246753246753	0.725	0.6810035842293907	0.7222222222222222	0.6762177650429799	0.7	0.7076502732240437	0.6601123595505618	0.7285318559556787	0.7122641509433962	0.6695906432748538	0.7069486404833837	0.692063492063492	0.7147058823529412	0.7237237237237237	0.6731843575418994	0.7492354740061162	0.6539509536784741	0.7307692307692307	0.7055837563451777	0.71875	0.6833333333333333	0.6893491124260355	0.6796657381615598	0.6966966966966966	0.7264437689969605	0.7601246105919003	0.7129337539432177	0.71712158808933	0.7122093023255814	0.7339181286549707	0.658307210031348	0.6838709677419355	0.7058823529411765	0.6760925449871465	0.6804878048780488	0.6742209631728046	0.7442528735632183	0.7090395480225988	0.6818181818181818	0.7082066869300911	0.7068062827225131	0.649390243902439
12B	0.7181818181818181	0.662303664921466	0.6368563685636857	0.6253298153034301	0.6666666666666666	0.636094674556213	0.0	0.6915167095115681	0.6358974358974359	0.6607669616519174	0.6601466992665037	0.6906474820143885	0.6734104046242775	0.6925373134328359	0.6544117647058824	0.6782407407407407	0.6574585635359116	0.6271604938271605	0.6475644699140402	0.6289473684210526	0.6991404011461319	0.7082066869300911	0.7142857142857143	0.7576601671309192	0.6748466257668712	0.686046511627907	0.6039325842696629	0.7006172839506173	0.6617647058823529	0.6287878787878788	0.74	0.698051948051948	0.7365591397849462	0.6764705882352942	0.6954314720812182	0.6822916666666666	0.6956521739130435	0.688	0.6628175519630485	0.6406685236768802	0.6903409090909091	0.6911764705882353	0.6908077994428969	0.6914285714285714	0.6380697050938338	0.7188405797101449	0.6240208877284595	0.7184466019417476	0.6820388349514563	0.6990291262135923	0.6796875	0.6740947075208914	0.6762402088772846	0.6695156695156695	0.7085714285714285	0.7434402332361516	0.6835820895522388	0.6810551558752997	0.6850828729281768	0.7019498607242339	0.6828571428571428	0.6716867469879518	0.6904761904761905	0.6699029126213593	0.6712962962962963	0.6348773841961853	0.7466666666666667	0.6863270777479893	0.6639784946236559	0.6839080459770115	0.6624365482233503	0.6515580736543909
14A	0.7079646017699115	0.6408268733850129	0.6919191919191919	0.6326530612244898	0.6396648044692738	0.6666666666666666	0.6915167095115681	0.0	0.6186868686868687	0.6286549707602339	0.633495145631068	0.644927536231884	0.630057803468208	0.6437125748502994	0.6442307692307693	0.6801801801801802	0.6953125	0.6372315035799523	0.6802168021680217	0.6326530612244898	0.7185792349726776	0.7464387464387464	0.751269035532995	0.7771883289124668	0.6656716417910448	0.7344173441734417	0.6455026455026455	0.736231884057971	0.6980609418282548	0.648910411622276	0.7642276422764228	0.7469879518072289	0.7627551020408163	0.5989010989010989	0.6873449131513648	0.6432291666666666	0.6256544502617801	0.7131979695431472	0.6438356164383562	0.6657824933687002	0.6994535519125683	0.7533875338753387	0.7270341207349081	0.7146739130434783	0.6624040920716112	0.7270194986072424	0.6173469387755102	0.7071428571428572	0.6901408450704225	0.7009345794392523	0.6751269035532995	0.6547945205479452	0.6982543640897756	0.6758241758241759	0.7710526315789473	0.7645429362880887	0.6627565982404692	0.6737089201877934	0.7377892030848329	0.7308707124010554	0.6923076923076923	0.7262569832402235	0.671875	0.6400966183574879	0.6823266219239373	0.6456692913385826	0.7783375314861462	0.7279596977329975	0.6631853785900783	0.7076502732240437	0.681265206812652	0.6246498599439776
14B	0.7438692098092643	0.6240601503759399	0.6707616707616708	0.6059850374064838	0.671875	0.6763925729442971	0.6358974358974359	0.6186868686868687	0.0	0.6702702702702703	0.634032634032634	0.6193853427895981	0.660377358490566	0.7204301075268817	0.6285046728971962	0.673202614379085	0.6734177215189874	0.5924170616113744	0.6821705426356589	0.6197530864197531	0.6949602122015915	0.7103064066852368	0.6928934010152284	0.7525773195876289	0.6834733893557423	0.7037037037037037	0.6691542288557214	0.725	0.6639566395663956	0.6519721577726219	0.7294429708222812	0.7238372093023255	0.7204030226700252	0.6708229426433915	0.6666666666666666	0.64	0.6568627450980392	0.681592039800995	0.6469298245614035	0.698019801980198	0.6868421052631579	0.7389033942558747	0.6805194805194805	0.6843501326259946	0.6747572815533981	0.72	0.6253041362530414	0.6744730679156908	0.6488372093023256	0.6943620178041543	0.6674816625916871	0.6509186351706037	0.6408977556109726	0.6351351351351351	0.7239583333333334	0.7526595744680851	0.7158176943699732	0.6451612903225806	0.6718346253229974	0.7336683417085427	0.7237851662404092	0.7192513368983957	0.6472081218274112	0.6621004566210046	0.6460176991150443	0.628498727735369	0.7487684729064039	0.6530612244897959	0.648989898989899	0.6521739130434783	0.6768149882903981	0.6786632390745502
15	0.6608391608391608	0.6732394366197183	0.692090395480226	0.6564245810055865	0.637223974763407	0.6925465838509317	0.6607669616519174	0.6286549707602339	0.6702702702702703	0.0	0.6380697050938338	0.6719160104986877	0.657051282051282	0.6599326599326599	0.6710182767624021	0.7296650717703349	0.6765578635014837	0.6597402597402597	0.6625386996904025	0.6638888888888889	0.6857142857142857	0.7037037037037037	0.7333333333333333	0.7621951219512195	0.6293706293706294	0.7204968944099379	0.6598240469208211	0.7171717171717171	0.6482084690553745	0.6586666666666666	0.746875	0.6920289855072463	0.7087087087087087	0.6617647058823529	0.7154471544715447	0.7197802197802198	0.6685552407932012	0.7048710601719198	0.6724137931034483	0.6382978723404256	0.684375	0.734375	0.7009063444108762	0.7217125382262997	0.6704545454545454	0.7197452229299363	0.6281690140845071	0.7614213197969543	0.6935064935064935	0.6592592592592592	0.6807909604519774	0.7062314540059347	0.7099447513812155	0.7021276595744681	0.7204968944099379	0.7387096774193549	0.680921052631579	0.7088607594936709	0.7251461988304093	0.7245508982035929	0.684375	0.6895424836601307	0.7183098591549296	0.7139240506329114	0.7315914489311164	0.6790830945558739	0.7887323943661971	0.7323943661971831	0.6598240469208211	0.7058823529411765	0.7284595300261096	0.6584615384615384
