	shannon_entropy
10	4.530134214311086
11	5.91595691591318
11A	5.709631997097828
11B	6.019811107955416
12	5.5754362345973805
12A	4.889424818579223
12B	5.60375604112201
14A	6.005356699490924
14B	6.283745842238251
15	5.326512428408505
15A	5.733615751865646
15B	6.363629506362057
16	5.477617841561494
17	4.816082020913218
17A	5.966527104943666
17B	6.195598775153764
18	5.575526081620752
18A	6.325739210284956
18B	5.313765140481028
20A	5.804593148036739
20B	5.054142401555615
21	4.439125044958991
21A	5.838625442499462
21B	5.283429398907377
22	5.314137988682568
23	4.9707420280464865
23A	5.443664866407433
23B	4.593757280978494
24	5.278164831490831
24A	5.659782543702648
24B	4.621621948000808
27	4.6217367196598005
28	5.026275376952319
29	6.317539123930075
2A	6.248695918858921
2B	5.669614239599987
3	5.322087498988408
30	5.84399953694448
33	6.124914432187943
34	5.599292203594409
35	5.0838383709771735
36	5.467484834982843
39	5.789049332435535
3A	5.3971041576158925
3B	5.277353397857344
4	4.666289231147553
40	5.6228905100821
41	5.933319948795078
42	6.352879235361132
45	4.382200840578836
46	5.276375302502957
47	5.320200756671815
48	5.984042651036316
5	5.586203624050452
51	5.129869340845957
52	4.691998337883395
53	5.593867609278149
54	6.329417954906861
57	5.237856307637063
58	4.959754751952153
59	4.931848791862932
5A	4.795875306103129
5B	6.246805181702215
6	5.7400544440573515
60	6.279230177698416
6A	5.425979020972836
6B	5.468015425352367
8A	5.451276685123259
8B	5.149767240785662
9	5.770393171206579
9A	6.145027559556422
9B	5.214540376076127
