	10	11	11A	11B	12	12A	12B	14A	14B	15	15A	15B	16	17	17A	17B	18	18A	18B	20A	20B	21	21A	21B	22	23	23A	23B	24	24A	24B	27	28	29	2A	2B	3	30	33	34	35	36	39	3A	3B	4	40	41	42	45	46	47	48	5	51	52	53	54	57	58	59	5A	5B	6	60	6A	6B	8A	8B	9	9A	9B
10	0	0.608508825302124	0.560899019241333	0.587637186050415	0.4501816034317017	0.5086989402770996	0.5183588862419128	0.5767886638641357	0.8787131309509277	0.4929919838905334	0.4946602582931519	0.7739371657371521	0.5417769551277161	0.6159458756446838	0.442529708147049	0.6291839480400085	0.4860471785068512	0.6542440056800842	0.3512198626995087	0.4940043985843658	0.4475749731063843	0.7107876539230347	0.4817164242267609	0.3540486097335815	0.5149844288825989	0.5759043097496033	0.5162721872329712	0.4927559792995453	0.5479069948196411	0.4796738028526306	0.6347491145133972	0.4253126680850983	0.6119696497917175	0.9075751900672913	0.6912827491760254	0.6903078556060791	0.7098879814147949	0.8435822725296021	0.5721030831336975	0.5036616325378418	0.3617132902145386	0.5271224975585938	0.6333188414573669	0.3996169865131378	0.5657820701599121	0.504192590713501	0.4622358977794647	0.8437061309814453	0.6932723522186279	0.6402946710586548	0.513095498085022	0.8285255432128906	0.7173938751220703	0.8622373938560486	0.4366993010044098	0.8083117008209229	0.5390036702156067	0.7223244905471802	0.7461002469062805	0.3767518401145935	0.4304285049438477	0.202318474650383	0.8973857164382935	0.5399523377418518	0.7971752882003784	0.5153234601020813	0.6193588376045227	0.665203869342804	0.5375438332557678	0.645175039768219	0.6058315634727478	0.5643592476844788
11	0.608508825302124	0	0.4447615146636963	0.3658071458339691	0.3066511750221252	0.6275699734687805	0.5019749402999878	0.2673791348934174	0.564127504825592	0.4854422509670258	0.268168568611145	0.4336508810520172	0.4329485595226288	0.6553272604942322	0.3125395178794861	0.4488451182842255	0.4493383169174194	0.4060356020927429	0.4524449110031128	0.3311829268932343	0.5107628107070923	0.7934635281562805	0.4908490478992462	0.6244428753852844	0.434009462594986	0.5593193173408508	0.4971284568309784	0.5196041464805603	0.403803676366806	0.3363057971000671	0.7347739934921265	0.5712941288948059	0.6610227227210999	0.4540650844573975	0.4110576510429382	0.3843653202056885	0.4268223345279694	0.6057333946228027	0.3011614680290222	0.3977379500865936	0.5042597055435181	0.6382874846458435	0.4481474757194519	0.4845120310783386	0.527349591255188	0.6404771208763123	0.3461638391017914	0.6754320859909058	0.4114654362201691	0.5563365817070007	0.4441705942153931	0.5713613033294678	0.5084629058837891	0.5545432567596436	0.54270339012146	0.7644889950752258	0.3413633108139038	0.3134588599205017	0.6375707983970642	0.5979517102241516	0.5540683269500732	0.5669066905975342	0.629864513874054	0.3015596568584442	0.5358635783195496	0.4035106301307678	0.6325777769088745	0.5187335610389709	0.4428701400756836	0.3505991399288177	0.3332933783531189	0.4932076036930084
11A	0.560899019241333	0.4447615146636963	0	0.291540801525116	0.4543436467647552	0.397642582654953	0.3114616870880127	0.4220165908336639	0.6742562651634216	0.4728487432003021	0.3619155585765839	0.5475611090660095	0.4579031467437744	0.4060443639755249	0.3352469205856323	0.5864570140838623	0.3773668706417084	0.4691199362277985	0.4463438987731934	0.4045465886592865	0.5719471573829651	0.8090795874595642	0.5242090225219727	0.6803998351097107	0.4556019306182861	0.5954359173774719	0.3560548424720764	0.3650981783866882	0.496182382106781	0.3582161366939545	0.754942774772644	0.6090366244316101	0.7004789710044861	0.681172788143158	0.5497784018516541	0.5509452223777771	0.4964701235294342	0.7091122269630432	0.446367621421814	0.4325654804706573	0.5414097309112549	0.758195698261261	0.5494350790977478	0.4971994161605835	0.3739984035491943	0.5856948494911194	0.3365142643451691	0.8009082674980164	0.550570011138916	0.6058685779571533	0.495412141084671	0.6329942941665649	0.565496027469635	0.6730595827102661	0.5554476380348206	0.7435312271118164	0.467248946428299	0.5242143869400024	0.620078980922699	0.518372118473053	0.5884930491447449	0.4809546768665314	0.7496618032455444	0.43978151679039	0.5932175517082214	0.4573102593421936	0.6396881341934204	0.6447450518608093	0.50142902135849	0.4280807077884674	0.432396799325943	0.3737776279449463
11B	0.587637186050415	0.3658071458339691	0.291540801525116	0	0.3841703832149506	0.5622942447662354	0.3915883898735046	0.317367821931839	0.4691928923130035	0.4349575340747833	0.2903881072998047	0.415179431438446	0.4040383994579315	0.5460638403892517	0.3361793458461761	0.4836703240871429	0.3993365168571472	0.3529268801212311	0.407019317150116	0.3675244450569153	0.5565893650054932	0.8632019758224487	0.4598623514175415	0.6739485263824463	0.468438982963562	0.6277458071708679	0.327410101890564	0.4281899929046631	0.4198610484600067	0.302598774433136	0.8074332475662231	0.6103107333183289	0.7517980933189392	0.5081347823143005	0.4797883629798889	0.5229600667953491	0.4186900854110718	0.640203595161438	0.3248952031135559	0.3993731737136841	0.5667567849159241	0.6971117258071899	0.4700829386711121	0.4457408785820007	0.3595485389232635	0.6567241549491882	0.3140963017940521	0.7353655099868774	0.4822052419185638	0.5987828373908997	0.5112221837043762	0.5650651454925537	0.4370323121547699	0.5376818180084229	0.5785983204841614	0.7890938520431519	0.4219666123390198	0.4238398671150208	0.6277995705604553	0.5935388207435608	0.6241941452026367	0.5324611663818359	0.6106134653091431	0.3583219647407532	0.4711998999118805	0.4122342765331268	0.6879244446754456	0.6300881505012512	0.5026734471321106	0.3784787952899933	0.344019740819931	0.338674008846283
12	0.4501816034317017	0.3066511750221252	0.4543436467647552	0.3841703832149506	0	0.5580453872680664	0.4864376187324524	0.2861745953559875	0.5980888605117798	0.4637711644172668	0.2687585353851318	0.4763930141925812	0.4317921996116638	0.6333256363868713	0.2805114388465881	0.4099489748477936	0.4237720966339111	0.4157495498657227	0.3058684468269348	0.2736448645591736	0.4284561574459076	0.7269699573516846	0.4253259599208832	0.4606542885303497	0.421050488948822	0.52393639087677	0.488025963306427	0.4724652171134949	0.4389075934886932	0.3413465917110443	0.6753007769584656	0.4519896805286407	0.6112035512924194	0.5529274344444275	0.4236221313476562	0.4140571057796478	0.4638520181179047	0.6672730445861816	0.3343233168125153	0.3832623958587646	0.3967354595661163	0.5526854991912842	0.5076761841773987	0.3818617463111877	0.5078220367431641	0.486412912607193	0.3287152647972107	0.6643314957618713	0.4613154232501984	0.4864826798439026	0.3873118162155151	0.5999135971069336	0.5124778747558594	0.5360541343688965	0.4438494145870209	0.7459603548049927	0.301445335149765	0.441610723733902	0.6416814923286438	0.4578821957111359	0.4590396285057068	0.3984178006649017	0.7193880081176758	0.3106977939605713	0.5530567765235901	0.3933490812778473	0.6368727087974548	0.5620694756507874	0.3937400579452515	0.3941478431224823	0.4107304513454437	0.4747039675712585
12A	0.5086989402770996	0.6275699734687805	0.397642582654953	0.5622942447662354	0.5580453872680664	0	0.2936773896217346	0.5844539403915405	0.9193449020385742	0.4223195314407349	0.5346559882164001	0.7341820597648621	0.4758196175098419	0.3597047626972198	0.4717844724655151	0.7162280678749084	0.4485585987567902	0.6989094614982605	0.4854074120521545	0.5280815958976746	0.5089714527130127	0.6814853549003601	0.5397913455963135	0.6185378432273865	0.4193589985370636	0.5051693916320801	0.4197797179222107	0.3318932950496674	0.4721863865852356	0.5095322132110596	0.6256878972053528	0.4868085086345673	0.5910476446151733	0.8898071050643921	0.7091383934020996	0.6005281805992126	0.6223261952400208	0.7419990301132202	0.6237107515335083	0.4437487125396729	0.4693419337272644	0.7731563448905945	0.6722608804702759	0.5410668253898621	0.4201137721538544	0.485020786523819	0.4236154556274414	0.8826236128807068	0.7349413633346558	0.6415281891822815	0.529488742351532	0.7359936237335205	0.7429236769676208	0.7774559259414673	0.438499927520752	0.7044690251350403	0.4630861282348633	0.7587312459945679	0.6545240879058838	0.3705291152000427	0.5070738196372986	0.4210341572761536	0.9393786787986755	0.5935521721839905	0.8320446014404297	0.4295608103275299	0.5899016261100769	0.5704257488250732	0.5131500363349915	0.6336274147033691	0.6070284247398376	0.4145826995372772
12B	0.5183588862419128	0.5019749402999878	0.3114616870880127	0.3915883898735046	0.4864376187324524	0.2936773896217346	0	0.4666752219200134	0.7329543232917786	0.3126659989356995	0.4444728493690491	0.5703303813934326	0.316828191280365	0.3141002953052521	0.3873544335365295	0.6297165751457214	0.332914263010025	0.5648964643478394	0.4534078240394592	0.4211935698986053	0.4275880753993988	0.6368950605392456	0.4800558686256409	0.5775328278541565	0.3162482380867004	0.4336815774440765	0.2997814118862152	0.2896604835987091	0.3812665343284607	0.4051795303821564	0.5758242607116699	0.4372974932193756	0.5141123533248901	0.7050573229789734	0.5630955696105957	0.4617002904415131	0.4489873647689819	0.5365942716598511	0.5090532898902893	0.3553603291511536	0.4206095635890961	0.7133755683898926	0.5224511623382568	0.482158750295639	0.237778514623642	0.4512267112731934	0.3424080908298492	0.7910772562026978	0.5694676041603088	0.5353081226348877	0.4271796643733978	0.5420610904693604	0.5754148960113525	0.5951024889945984	0.3857517540454865	0.5657691955566406	0.3724641799926758	0.5701499581336975	0.4784872233867645	0.3961230218410492	0.4381425678730011	0.4457825422286987	0.7563657164573669	0.4907654821872711	0.6599687933921814	0.3096842765808105	0.4989728927612305	0.4584310352802277	0.3990429043769836	0.4679568111896515	0.4743358790874481	0.2582941949367523
14A	0.5767886638641357	0.2673791348934174	0.4220165908336639	0.317367821931839	0.2861745953559875	0.5844539403915405	0.4666752219200134	0	0.4874537885189056	0.4299507141113281	0.2313523143529892	0.3149136304855347	0.3821038901805878	0.5901636481285095	0.2839264571666718	0.3976783454418182	0.3752384781837463	0.3290751576423645	0.4036403596401215	0.2679503262042999	0.4651576578617096	0.7658079862594604	0.4787116348743439	0.5949600338935852	0.3798420131206512	0.5455677509307861	0.4289704859256744	0.4879781603813171	0.3905669748783112	0.3243991434574127	0.7180320024490356	0.5239109992980957	0.6551682949066162	0.4526068866252899	0.3890098035335541	0.3970871865749359	0.3968859314918518	0.5769074559211731	0.2639519572257996	0.3546728789806366	0.45116326212883	0.6384777426719666	0.4527334570884705	0.4449253380298615	0.4703394174575806	0.609869122505188	0.2917904853820801	0.6208651065826416	0.4134073853492737	0.5270280241966248	0.4457837641239166	0.5233553051948547	0.4759732484817505	0.4847198724746704	0.4881300330162048	0.7230086326599121	0.2835296094417572	0.3700141906738281	0.587145209312439	0.5550848245620728	0.5534344911575317	0.5241799354553223	0.6233177185058594	0.2771594524383545	0.4926482737064362	0.398870438337326	0.6146484017372131	0.5325304269790649	0.4271654486656189	0.3368745446205139	0.3821442723274231	0.4540407657623291
14B	0.8787131309509277	0.564127504825592	0.6742562651634216	0.4691928923130035	0.5980888605117798	0.9193449020385742	0.7329543232917786	0.4874537885189056	0	0.6694878339767456	0.5132505893707275	0.3599086999893188	0.6034018397331238	0.8773643970489502	0.5872093439102173	0.5254173278808594	0.6895004510879517	0.4845718443393707	0.6408215165138245	0.5566825866699219	0.7201250791549683	1.006049156188965	0.6324600577354431	0.8163038492202759	0.6806686520576477	0.7381716370582581	0.6493445038795471	0.764315128326416	0.601432740688324	0.5840312242507935	0.9982126951217651	0.8258947134017944	0.9139971137046814	0.4539786279201508	0.5232873558998108	0.6142435669898987	0.6509658098220825	0.5000240802764893	0.4855726659297943	0.6268541216850281	0.7744011282920837	0.7553778290748596	0.4429988265037537	0.6443325877189636	0.6765931844711304	0.9499093890190125	0.5902362465858459	0.658907413482666	0.5038078427314758	0.7955164909362793	0.7218839526176453	0.4701200127601624	0.3851165771484375	0.5492746829986572	0.7464089393615723	0.915997326374054	0.6251218914985657	0.5312743782997131	0.7273951768875122	0.8812890648841858	0.8340617418289185	0.8595671057701111	0.5048210620880127	0.5685780048370361	0.365873247385025	0.6406945586204529	0.8209712505340576	0.7584344148635864	0.7228273153305054	0.4464129209518433	0.6551191806793213	0.6706119775772095
15	0.4929919838905334	0.4854422509670258	0.4728487432003021	0.4349575340747833	0.4637711644172668	0.4223195314407349	0.3126659989356995	0.4299507141113281	0.6694878339767456	0	0.3733597695827484	0.5625103712081909	0.2104770094156265	0.3678059577941895	0.3658028244972229	0.6028900146484375	0.3731555044651031	0.5289732217788696	0.3562360405921936	0.3730236291885376	0.3108320832252502	0.5790443420410156	0.3690793812274933	0.5081915855407715	0.2613314092159271	0.3574319183826447	0.2625017166137695	0.3236024081707001	0.2617280185222626	0.3695909082889557	0.5147392153739929	0.3193193674087524	0.4772602915763855	0.6680794954299927	0.5826371908187866	0.4180552363395691	0.3718966245651245	0.5066025257110596	0.4661645591259003	0.2836542129516602	0.3664131164550781	0.6336945295333862	0.4238981604576111	0.356442928314209	0.2768222689628601	0.4852257966995239	0.2613995671272278	0.7829784750938416	0.5657495856285095	0.4262486398220062	0.369940310716629	0.5225257277488708	0.5332693457603455	0.5665956139564514	0.3180440962314606	0.5562852025032043	0.3726502358913422	0.6151903867721558	0.4651087820529938	0.4291333854198456	0.3397122323513031	0.4753227233886719	0.7064511775970459	0.44896599650383	0.6898372769355774	0.2493371218442917	0.4802659451961517	0.3854791820049286	0.3511675894260406	0.4043137431144714	0.5729522705078125	0.2669410407543182
